CardCode,CardName,CNPJ,City,State,Phone1,E_Mail,SlpCode,CreateDate,UpdateDate
C00018,Souza,87083172788957,Brasília,DF,31 4858-3339,escola39@email.com.br,11,2023-01-17,2025-03-03
C00019,da Luz Moura - EI,27874296717565,Belém,PA,(021) 5228 8515,escola66@email.com.br,8,2023-03-24,2024-05-30
C00020,da Costa Cardoso - ME,81491778507925,São Luís,MA,84 7996-8460,escola240@email.com.br,6,2022-04-09,2025-11-15
C00021,Cirino,15206436110371,São Luís,MA,41 1062-0034,escola228@email.com.br,8,2022-08-19,2024-05-16
C00022,Gomes Sales S.A.,57387571775140,Recife,PE,+55 (031) 4420-4380,escola210@email.com.br,1,2023-05-16,2025-10-28
C00023,Almeida,69993867749649,Londrina,PR,11 7198 3863,escola60@email.com.br,3,2022-05-21,2024-04-20
C00024,Ferreira S.A.,84866618892414,São Luís,MA,31 4066-6580,escola236@email.com.br,11,2022-12-23,2024-02-09
C00025,Santos,78593213348039,Caxias do Sul,RS,+55 (021) 4397 3598,escola258@email.com.br,4,2022-06-20,2025-06-18
C00026,Porto,43524082400842,Brasília,DF,0500-334-7212,escola57@email.com.br,20,2022-02-27,2023-07-04
C00027,Moraes Melo e Filhos,66882634351751,Brasília,DF,+55 (051) 8160-6484,escola181@email.com.br,24,2022-09-13,2024-08-07
C00028,Vargas,49912513412528,Vila Velha,ES,+55 81 2940 5720,escola215@email.com.br,5,2022-07-09,2023-10-02
C00029,Mendonça,93806868793741,São Paulo,SP,+55 (021) 5909-4798,escola274@email.com.br,3,2023-04-29,2024-02-28
C00030,Campos Novais - ME,72181143744701,Londrina,PR,11 1583 2818,escola304@email.com.br,25,2022-05-27,2025-04-09
C00031,Guerra Sales S.A.,29991191485646,Cuiabá,MT,+55 (031) 6886-1533,escola278@email.com.br,15,2023-05-22,2023-12-08
C00032,Ramos,87947055169409,Cuiabá,MT,(071) 5543 9878,escola154@email.com.br,14,2022-10-05,2024-12-30
C00033,Macedo,62462873342708,Anápolis,GO,+55 (021) 1573 9930,escola180@email.com.br,21,2022-09-10,2025-03-24
C00034,Albuquerque,72099934768701,Campinas,SP,(061) 6164 8408,escola255@email.com.br,12,2022-11-25,2025-06-29
C00035,Barbosa Macedo - EI,24026811775891,Natal,RN,31 8877 0435,escola92@email.com.br,22,2022-11-25,2025-01-18
C00036,Pastor,71012269166978,Maceió,AL,31 1128-8013,escola9@email.com.br,11,2022-06-25,2024-01-02
C00037,Nogueira Cardoso e Filhos,38692221969379,Florianópolis,SC,+55 11 6138-6120,escola78@email.com.br,19,2022-11-09,2023-12-22
C00038,Machado,72126464715437,Porto Alegre,RS,(051) 5011-0248,escola201@email.com.br,22,2022-12-21,2023-11-21
C00039,Sampaio Moreira - ME,03397401489025,Juazeiro do Norte,CE,+55 11 9346 6766,escola193@email.com.br,23,2022-11-17,2023-10-12
C00040,Guerra,97700886008484,Joinville,SC,(051) 0618 0919,escola189@email.com.br,13,2022-04-29,2024-11-26
C00041,da Mota Macedo S/A,80737416724342,Manaus,AM,+55 (061) 1581 4491,escola205@email.com.br,11,2023-05-16,2024-07-12
C00042,da Mota Aparecida S/A,46554947170999,João Pessoa,PB,(011) 7660 7283,escola292@email.com.br,20,2022-03-28,2024-10-02
C00043,Sá,19431142626551,Maringá,PR,+55 84 6842 4508,escola197@email.com.br,3,2022-02-26,2024-06-09
C00044,Correia Correia - EI,79640537735158,Cuiabá,MT,84 2100-9968,escola88@email.com.br,2,2023-06-26,2025-11-19
C00045,Ribeiro Barros Ltda.,83046990139837,Cuiabá,MT,81 1435-3682,escola182@email.com.br,21,2022-02-18,2024-07-06
C00046,da Rocha,88510272614933,Natal,RN,+55 (031) 2394-3129,escola315@email.com.br,10,2022-04-05,2024-03-21
C00047,Câmara Azevedo Ltda.,46773782639821,Campinas,SP,+55 (071) 8781 4141,escola71@email.com.br,15,2023-04-11,2024-05-10
C00048,Pinto,29668516122753,Manaus,AM,+55 (081) 9755-2314,escola166@email.com.br,9,2023-04-28,2024-02-21
C00049,Cunha,61115542622189,São Paulo,SP,0900-135-7759,escola230@email.com.br,25,2023-01-10,2025-04-14
C00050,Montenegro,10762268388516,Olinda,PE,(041) 9299 5562,escola105@email.com.br,7,2023-01-01,2025-08-29
C00051,Andrade,58549733484344,Fortaleza,CE,+55 (011) 5336 4525,escola158@email.com.br,5,2022-11-01,2024-09-21
C00052,Pimenta,93784270103930,Cuiabá,MT,(081) 7754-7812,escola260@email.com.br,17,2022-10-30,2023-10-23
C00053,Siqueira,74517123685160,Natal,RN,0500-142-8341,escola84@email.com.br,15,2022-05-02,2024-06-29
C00054,Novaes,52431069033119,Vitória,ES,+55 11 0809 9693,escola176@email.com.br,19,2022-11-04,2025-06-19
C00055,Ribeiro,04637454990453,Campo Grande,MS,+55 (051) 8488 7256,escola167@email.com.br,19,2023-04-16,2024-01-21
C00056,Sá,18644925192546,Blumenau,SC,+55 21 9427-8816,escola115@email.com.br,9,2022-10-24,2025-11-14
C00057,Fonseca,66912517785289,Brasília,DF,21 8039 2827,escola140@email.com.br,20,2022-07-28,2023-08-07
C00058,Silveira,81260422325367,Manaus,AM,+55 (031) 2992-7503,escola223@email.com.br,11,2022-08-25,2024-11-12
C00059,Alves S/A,03413164752553,Campo Grande,MS,(084) 3145-3038,escola5@email.com.br,17,2022-02-01,2024-02-13
C00060,Azevedo - ME,09010016761847,Maceió,AL,21 6770 0518,escola300@email.com.br,7,2022-05-08,2024-12-24
C00061,Vargas Ltda.,98259526949588,Belém,PA,+55 84 4989-2665,escola153@email.com.br,7,2023-03-08,2023-09-24
C00062,Campos,48086131712748,Campo Grande,MS,0900 184 6386,escola70@email.com.br,3,2022-07-25,2024-03-02
C00063,Cassiano,95701543039117,Maceió,AL,11 5779 0827,escola12@email.com.br,21,2023-06-18,2025-03-07
C00064,Martins,87059325250029,Recife,PE,+55 (041) 3184-3222,escola261@email.com.br,6,2023-03-14,2023-08-08
C00065,Nogueira Andrade Ltda.,84422583132370,Cuiabá,MT,21 9136 5177,escola138@email.com.br,17,2023-05-01,2024-11-30
C00066,Lopes,42199330833016,Maringá,PR,(081) 3926-0302,escola161@email.com.br,18,2022-06-29,2025-10-09
C00067,Pimenta,61375060685361,Curitiba,PR,0500 922 8092,escola122@email.com.br,18,2022-03-11,2024-06-26
C00068,Carvalho,95134332003791,Manaus,AM,+55 (081) 2428 6990,escola37@email.com.br,6,2023-05-07,2025-01-07
C00069,Rios,65047735866296,Florianópolis,SC,(011) 1379 7723,escola196@email.com.br,16,2022-07-21,2023-07-10
C00070,Peixoto - ME,37575844198665,Natal,RN,81 9292 9842,escola159@email.com.br,10,2023-03-22,2024-01-05
C00071,Araújo Moraes S/A,06071596966416,São Luís,MA,(081) 7991 3662,escola106@email.com.br,11,2022-03-06,2024-05-16
C00072,Pacheco Peixoto S/A,52312432921277,Goiânia,GO,+55 51 0388 6291,escola109@email.com.br,6,2022-05-06,2024-09-28
C00073,Guerra Farias Ltda.,39868000257872,Vila Velha,ES,+55 (051) 7990-8811,escola152@email.com.br,23,2022-11-10,2024-08-22
C00074,da Cunha,03579727985524,Natal,RN,(081) 2980-6865,escola284@email.com.br,11,2022-08-06,2024-05-31
C00075,Nascimento,56670106513338,Maringá,PR,+55 (061) 8637 6599,escola17@email.com.br,24,2022-08-20,2024-11-06
C00076,Ferreira - EI,17121003236519,Cuiabá,MT,+55 41 6247 3149,escola252@email.com.br,17,2022-02-21,2023-10-12
C00077,da Luz Gonçalves S.A.,82071518203778,Brasília,DF,71 6430-0981,escola113@email.com.br,17,2022-04-20,2024-06-29
C00078,da Mata Castro e Filhos,10469632595327,Juazeiro do Norte,CE,41 0635-6512,escola147@email.com.br,14,2023-05-05,2024-01-09
C00079,Vieira - EI,35680442067883,Pelotas,RS,(011) 9448-6959,escola251@email.com.br,10,2022-10-13,2025-12-07
C00080,da Rocha Cunha S/A,59910229014767,Campo Grande,MS,+55 84 6368-8725,escola102@email.com.br,13,2023-05-24,2023-09-28
C00081,Carvalho Ltda.,41036971179808,Natal,RN,84 8744-9562,escola125@email.com.br,24,2023-05-06,2024-09-26
C00082,da Conceição Montenegro - EI,41928327648350,Olinda,PE,+55 71 3721 3865,escola6@email.com.br,24,2023-01-23,2023-12-14
C00083,da Costa Castro S.A.,39690784473647,Maceió,AL,81 9026-0127,escola144@email.com.br,19,2023-02-12,2025-02-22
C00084,Alves e Filhos,10433218196001,Maceió,AL,0300-611-4351,escola1@email.com.br,3,2022-11-14,2024-02-15
C00085,Rios Caldeira Ltda.,84143842498182,Belém,PA,0500-066-9849,escola142@email.com.br,7,2023-02-10,2023-11-17
C00086,da Mata,30307053457861,Petrópolis,RJ,+55 (081) 2770 3843,escola283@email.com.br,19,2022-09-21,2025-12-26
C00087,Fernandes,62962015336884,Niterói,RJ,+55 (051) 9883 9205,escola269@email.com.br,13,2023-03-17,2024-03-25
C00088,Montenegro da Luz S.A.,88059296222927,Olinda,PE,+55 41 0214-6566,escola118@email.com.br,11,2022-02-23,2025-03-16
C00089,da Cruz,23747407482175,Juazeiro do Norte,CE,0900 380 1184,escola79@email.com.br,19,2022-01-30,2025-06-06
C00090,Monteiro Ltda.,86179327104054,Niterói,RJ,84 9554-3937,escola267@email.com.br,2,2022-04-25,2023-08-19
C00091,Pimenta Nunes Ltda.,82300478686337,Vila Velha,ES,71 9042 6818,escola175@email.com.br,18,2022-12-15,2024-11-03
C00092,Silva Fernandes S.A.,05153195205852,Campo Grande,MS,+55 11 8451 8489,escola128@email.com.br,8,2022-01-18,2024-12-26
C00093,Cassiano S.A.,91411739348356,Vitória,ES,+55 61 7697-3577,escola302@email.com.br,8,2022-12-15,2023-12-15
C00094,Sá S/A,16179904210202,Sorocaba,SP,0900 071 4163,escola238@email.com.br,4,2022-03-29,2025-01-04
C00095,Martins,22842102053950,São Luís,MA,+55 31 5658-8043,escola91@email.com.br,20,2023-02-24,2025-05-10
C00096,Duarte,09275326973112,Manaus,AM,(011) 1651 8275,escola231@email.com.br,17,2022-10-25,2024-04-20
C00097,Sampaio,62208635365419,Blumenau,SC,11 3942 3733,escola242@email.com.br,6,2022-10-29,2024-08-03
C00098,Fogaça Ltda.,87676772190340,Natal,RN,+55 41 4333-3952,escola218@email.com.br,9,2023-06-11,2025-09-03
C00099,Vargas,51802380617445,Belém,PA,+55 51 1179 0807,escola243@email.com.br,17,2022-11-01,2025-03-26
C00100,Pastor Câmara S/A,75588675339636,Salvador,BA,31 9579 4728,escola73@email.com.br,25,2023-04-14,2025-02-16
C00101,Aragão - EI,40369003432445,Belém,PA,+55 84 6392-0867,escola104@email.com.br,12,2023-03-25,2023-12-22
C00102,Ribeiro,79970246299606,Manaus,AM,71 0856-2718,escola279@email.com.br,18,2023-01-15,2025-10-21
C00103,Oliveira,74687234309805,Natal,RN,(051) 5003-6915,escola20@email.com.br,25,2023-05-18,2024-06-01
C00104,Borges e Filhos,66765277584161,Belém,PA,21 9428 4347,escola131@email.com.br,21,2022-12-23,2025-08-11
C00105,Rodrigues - EI,65185067165726,Juazeiro do Norte,CE,0800-552-7636,escola50@email.com.br,17,2022-05-10,2024-12-12
C00106,da Costa,66179796886805,Caxias do Sul,RS,31 5647 2929,escola206@email.com.br,24,2022-04-24,2025-11-09
C00107,Alves,09130756263689,João Pessoa,PB,+55 31 1438-6632,escola156@email.com.br,19,2022-02-22,2023-12-31
C00108,Sampaio,17381684602235,Belém,PA,+55 (021) 7026-7288,escola293@email.com.br,5,2022-03-15,2024-09-24
C00109,da Cunha,86874034505415,Manaus,AM,(051) 7448 9061,escola130@email.com.br,24,2023-04-19,2025-07-18
C00110,Barbosa,21699586693465,Juiz de Fora,MG,+55 (031) 0347-1754,escola318@email.com.br,18,2022-03-17,2025-10-17
C00111,Nascimento Siqueira S.A.,53315869232260,João Pessoa,PB,21 5884 5061,escola29@email.com.br,5,2022-11-03,2024-12-23
C00112,Caldeira Sampaio Ltda.,74741124903521,Londrina,PR,(084) 9399 8245,escola250@email.com.br,18,2022-07-12,2025-04-15
C00113,Azevedo,06537947383473,Salvador,BA,(061) 8771 6947,escola119@email.com.br,20,2023-04-08,2023-09-22
C00114,Barros e Filhos,93618324210249,Fortaleza,CE,+55 (011) 2569-9611,escola63@email.com.br,15,2022-01-15,2024-06-01
C00115,Santos e Filhos,05766270289517,Maceió,AL,+55 (031) 5355-4496,escola74@email.com.br,25,2023-06-26,2024-05-02
C00116,da Mota,94043898364037,Campo Grande,MS,+55 81 7598-7622,escola233@email.com.br,9,2022-12-03,2025-10-08
C00117,Abreu Ltda.,27570596401658,Petrópolis,RJ,+55 (031) 2341 3261,escola133@email.com.br,4,2022-09-30,2025-09-21
C00118,Gomes - EI,57120826773454,Londrina,PR,+55 41 1780 0681,escola162@email.com.br,7,2023-03-12,2024-11-20
C00119,Borges Ltda.,68548709986162,Rio de Janeiro,RJ,+55 51 4921 6433,escola277@email.com.br,25,2022-06-13,2024-12-17
C00120,Lopes,45494808313678,Pelotas,RS,(011) 7228 2005,escola53@email.com.br,13,2023-06-20,2023-10-16
C00121,Souza Ltda.,97643815614978,Fortaleza,CE,(061) 7784 8728,escola103@email.com.br,3,2022-07-06,2025-07-13
C00122,Silva Sampaio - ME,00623120387509,Belo Horizonte,MG,+55 (051) 9979-6884,escola188@email.com.br,7,2022-01-31,2024-01-31
C00123,Câmara,00479748016245,Vitória,ES,(084) 7831 7456,escola149@email.com.br,17,2023-05-30,2024-06-14
C00124,Mendonça,46263838065787,Petrópolis,RJ,+55 71 2400-8254,escola256@email.com.br,25,2023-03-21,2025-11-16
C00125,Vasconcelos Moreira - ME,20455611002255,Olinda,PE,(071) 8077-4064,escola305@email.com.br,18,2022-04-27,2025-09-01
C00126,Pereira e Filhos,12805982620450,Belém,PA,0300-308-5368,escola28@email.com.br,3,2022-09-09,2025-03-16
C00127,da Luz,16560494519832,João Pessoa,PB,(021) 6326-6341,escola98@email.com.br,16,2022-03-23,2024-04-07
C00128,da Conceição S/A,18702621745961,Maceió,AL,(011) 3894-4846,escola75@email.com.br,11,2022-01-12,2025-12-25
C00129,Marques Ferreira Ltda.,65060983584168,Campo Grande,MS,+55 (071) 1224-1797,escola150@email.com.br,1,2022-06-20,2025-10-31
C00130,Vasconcelos S.A.,73832060385050,Uberlândia,MG,+55 81 9735-0208,escola245@email.com.br,4,2023-04-01,2024-10-22
C00131,Câmara,42388496965328,João Pessoa,PB,+55 (031) 2144 2703,escola8@email.com.br,19,2022-02-18,2024-07-14
C00132,Silva das Neves - ME,51680876038597,Maceió,AL,+55 31 2073 5647,escola68@email.com.br,11,2022-06-01,2025-01-24
C00133,Fogaça,50821486289023,Blumenau,SC,31 7051 2046,escola282@email.com.br,14,2023-03-10,2025-02-19
C00134,Brito Brito e Filhos,94406409097439,Belém,PA,+55 11 8723 4601,escola81@email.com.br,7,2022-08-15,2025-10-20
C00135,Carvalho Sousa S/A,26542351161559,Feira de Santana,BA,+55 51 6730 3718,escola3@email.com.br,12,2022-04-02,2025-04-04
C00136,Rocha,74993097289623,João Pessoa,PB,+55 (084) 7645-2088,escola155@email.com.br,22,2022-11-17,2025-08-01
C00137,Sá S/A,09670546688937,Juazeiro do Norte,CE,+55 71 4743 5031,escola43@email.com.br,17,2022-01-22,2025-08-11
C00138,Duarte,87851910883982,Florianópolis,SC,+55 41 6502-4916,escola170@email.com.br,24,2023-04-21,2025-08-05
C00139,Abreu,00499154788728,São Luís,MA,+55 51 0097 9251,escola164@email.com.br,1,2022-11-23,2024-01-16
C00140,da Mota,69284511544796,João Pessoa,PB,+55 51 2719 5005,escola132@email.com.br,5,2023-02-09,2023-07-21
C00141,Cassiano,61201836675254,João Pessoa,PB,+55 (021) 8127-3585,escola101@email.com.br,24,2022-05-05,2023-11-02
C00142,Melo Pimenta S/A,64235369378547,Brasília,DF,(031) 3065-2407,escola186@email.com.br,19,2022-09-04,2025-09-14
C00143,Pastor,62120216979729,Cuiabá,MT,(031) 8487-3928,escola307@email.com.br,19,2022-03-23,2023-07-11
C00144,Cassiano e Filhos,34670656272980,João Pessoa,PB,(084) 5749 8218,escola44@email.com.br,8,2023-06-30,2023-11-06
C00145,Rodrigues Duarte S/A,43303654145868,Juazeiro do Norte,CE,+55 (021) 7448-5708,escola31@email.com.br,19,2023-05-01,2024-05-10
C00146,Campos Silveira S.A.,14060293333468,Juazeiro do Norte,CE,41 2095 9351,escola285@email.com.br,5,2022-11-19,2024-06-22
C00147,Carvalho Moraes - ME,23166587603669,João Pessoa,PB,61 6387-8294,escola42@email.com.br,4,2022-09-07,2025-07-10
C00148,Castro,66183982622444,Joinville,SC,(061) 6511 8102,escola200@email.com.br,14,2022-02-13,2025-02-07
C00149,Casa Grande,69957773872148,João Pessoa,PB,+55 (051) 0317-3109,escola36@email.com.br,2,2023-06-28,2024-05-31
C00150,Melo,53074505444713,Campo Grande,MS,51 7899 4053,escola280@email.com.br,18,2022-04-14,2025-11-23
C00151,Lima Camargo - EI,94522885158799,Anápolis,GO,0500-103-7170,escola320@email.com.br,17,2022-05-06,2023-08-13
C00152,Nunes S.A.,24191380003075,Belém,PA,21 8650 9480,escola241@email.com.br,10,2022-12-02,2023-09-01
C00153,Correia Leão e Filhos,10651801704622,Cuiabá,MT,+55 11 4138 1138,escola173@email.com.br,5,2022-11-03,2024-02-03
C00154,Novaes,86101581995604,Belo Horizonte,MG,51 3383 9288,escola199@email.com.br,23,2023-04-18,2024-01-28
C00155,Macedo,54216894210447,Vitória,ES,84 1957 6122,escola297@email.com.br,13,2022-03-13,2024-06-16
C00156,Casa Grande Alves S/A,53556093204899,Blumenau,SC,81 6852-8975,escola185@email.com.br,23,2023-06-28,2024-11-20
C00157,Aparecida,73829973763116,Feira de Santana,BA,(051) 8556 6593,escola16@email.com.br,7,2023-01-24,2025-08-14
C00158,Siqueira,21851569154522,Curitiba,PR,0300 836 8457,escola262@email.com.br,13,2022-05-24,2024-09-23
C00159,Borges da Mota - ME,20969029593917,Brasília,DF,(041) 6004-9082,escola264@email.com.br,3,2022-08-11,2025-06-06
C00160,Gomes - ME,75564641708053,Belém,PA,(031) 0433 5048,escola46@email.com.br,12,2023-06-06,2025-07-07
C00161,Lopes Cavalcanti e Filhos,65223955905992,Fortaleza,CE,31 8992-1075,escola259@email.com.br,20,2023-02-15,2025-02-01
C00162,Sá S/A,46156793341016,Brasília,DF,+55 (021) 2459-3344,escola191@email.com.br,8,2022-08-03,2024-06-26
C00163,Cardoso Ribeiro - ME,06594013990490,Maceió,AL,+55 31 9693 1572,escola65@email.com.br,8,2022-03-03,2025-06-21
C00164,Campos,00722903494466,Goiânia,GO,(084) 9194-0961,escola286@email.com.br,1,2022-12-08,2025-01-08
C00165,Porto da Luz S.A.,20297021355690,São Luís,MA,+55 (081) 5566 1390,escola134@email.com.br,11,2023-03-17,2023-10-01
C00166,Rios da Mata e Filhos,64005242786801,Olinda,PE,41 0480 5892,escola27@email.com.br,12,2022-10-26,2024-10-04
C00167,Albuquerque - EI,43292712966667,João Pessoa,PB,(061) 8320 6799,escola295@email.com.br,22,2022-09-10,2023-09-27
C00168,Vasconcelos e Filhos,18328569146303,Maceió,AL,21 1364-6225,escola237@email.com.br,21,2022-12-09,2025-11-28
C00169,Pinto,99229959001094,Brasília,DF,+55 21 7908 6416,escola143@email.com.br,13,2023-01-20,2024-03-02
C00170,Lopes Cardoso S/A,58957829114678,Manaus,AM,21 6227-8376,escola139@email.com.br,19,2023-05-15,2025-02-01
C00171,Gomes Ltda.,30958498254494,João Pessoa,PB,0500 389 8331,escola222@email.com.br,6,2023-01-01,2024-06-20
C00172,Gonçalves,62344565574313,São Luís,MA,+55 81 6591-1665,escola248@email.com.br,4,2022-04-14,2024-07-23
C00173,Sales Melo e Filhos,60898992172233,Olinda,PE,(084) 3559 0425,escola275@email.com.br,10,2022-09-10,2024-08-06
C00174,Borges,35403317393638,Belém,PA,0800-792-7033,escola183@email.com.br,22,2022-02-13,2025-05-06
C00175,Rocha e Filhos,48175496513709,Natal,RN,31 2110 3924,escola85@email.com.br,5,2023-06-05,2024-03-02
C00176,Ribeiro,90104328986143,Campo Grande,MS,+55 (021) 5147 7053,escola124@email.com.br,16,2023-05-13,2024-01-03
C00177,Teixeira,19656523413899,Vila Velha,ES,61 3388-4879,escola232@email.com.br,15,2022-01-29,2025-11-22
C00178,Câmara Alves e Filhos,78499121655852,Feira de Santana,BA,+55 (011) 0698-0420,escola151@email.com.br,6,2023-03-08,2025-08-23
C00179,da Costa e Filhos,47743490211586,Juazeiro do Norte,CE,(011) 3940 7016,escola273@email.com.br,21,2023-01-23,2024-08-23
C00180,Fonseca Ltda.,90913341232812,Maceió,AL,+55 81 5104-6368,escola61@email.com.br,1,2022-12-18,2024-03-12
C00181,Azevedo,29667066253244,Feira de Santana,BA,+55 41 5798 1238,escola254@email.com.br,10,2022-07-01,2024-12-15
C00182,Lima,24754691373678,Anápolis,GO,(051) 8003-8457,escola281@email.com.br,3,2023-01-22,2025-10-04
C00183,Marques S.A.,62185016315999,São Luís,MA,61 2055 5438,escola195@email.com.br,9,2022-09-20,2023-09-09
C00184,Carvalho,50643171390053,João Pessoa,PB,+55 84 0460-8432,escola89@email.com.br,23,2023-02-27,2023-09-17
C00185,Azevedo Peixoto S/A,05297516136968,Manaus,AM,(081) 6216 8936,escola107@email.com.br,2,2022-04-18,2025-03-30
C00186,Fogaça S.A.,22680182422535,Campinas,SP,+55 41 9264-9578,escola141@email.com.br,23,2023-04-18,2024-05-27
C00187,Pimenta e Filhos,08993588916375,Vitória,ES,+55 81 3298 3248,escola309@email.com.br,21,2022-07-29,2024-06-07
C00188,Barros,42087375300119,Natal,RN,+55 84 6292 5188,escola303@email.com.br,18,2022-11-03,2024-08-23
C00189,Sá Martins - EI,25135521570433,Anápolis,GO,+55 71 2520 5664,escola265@email.com.br,9,2022-02-13,2024-07-17
C00190,Jesus Mendonça - ME,69847896118367,Manaus,AM,(031) 4231-2209,escola95@email.com.br,4,2022-02-08,2024-01-10
C00191,Costela - ME,78596969155792,São Paulo,SP,0800-499-9393,escola214@email.com.br,22,2022-01-02,2023-11-16
C00192,Teixeira Fernandes S/A,18227824896383,Olinda,PE,+55 31 0517-2897,escola13@email.com.br,16,2022-08-08,2023-07-09
C00193,da Cunha,61379180552696,Campo Grande,MS,31 2677 2233,escola234@email.com.br,9,2022-05-27,2024-11-10
C00194,da Rocha da Conceição Ltda.,66099353875842,Brasília,DF,+55 (051) 6046 3331,escola290@email.com.br,14,2022-08-02,2024-09-05
C00195,Costa Almeida - EI,75884252410564,Vitória,ES,+55 (051) 7975-7366,escola239@email.com.br,5,2023-06-06,2025-12-10
C00196,Caldeira,11382675869261,Recife,PE,+55 (061) 9656 9998,escola87@email.com.br,4,2022-09-27,2025-04-09
C00197,Vieira Rodrigues - ME,69901627204653,Maceió,AL,51 0817 7038,escola45@email.com.br,9,2022-10-05,2024-10-07
C00198,Aragão e Filhos,78390847007661,Manaus,AM,61 6086-8034,escola93@email.com.br,4,2023-06-26,2025-08-12
C00199,Teixeira - EI,66929662782827,Campo Grande,MS,(031) 6447-2649,escola216@email.com.br,19,2022-08-24,2025-02-26
C00200,Novais S.A.,03926142939685,Vila Velha,ES,+55 (071) 8277 1812,escola194@email.com.br,11,2022-08-05,2023-07-23
C00201,Barbosa,23046184992618,Rio de Janeiro,RJ,0800 826 6570,escola301@email.com.br,19,2023-02-26,2025-02-08
C00202,Macedo,79415521667467,Natal,RN,+55 (051) 7937-1452,escola306@email.com.br,2,2023-03-05,2024-11-19
C00203,Garcia S/A,46578713315098,Belém,PA,+55 71 1175 1868,escola14@email.com.br,13,2022-09-24,2025-06-11
C00204,Farias S/A,58657809134316,Niterói,RJ,0800-268-6025,escola76@email.com.br,25,2022-01-04,2025-02-03
C00205,Marques,89255466590515,Feira de Santana,BA,0300 222 2064,escola114@email.com.br,6,2022-06-27,2024-11-29
C00206,Rios Silva Ltda.,99867980793597,Joinville,SC,(041) 7421 2309,escola112@email.com.br,18,2022-10-12,2025-03-20
C00207,Sampaio,80940244550229,Cuiabá,MT,+55 61 0777-8097,escola100@email.com.br,17,2023-04-11,2025-08-22
C00208,da Mota Rios - ME,11724005045562,Recife,PE,+55 41 3977-6719,escola77@email.com.br,9,2022-11-24,2025-08-11
C00209,Correia Cunha e Filhos,57437489691085,Vitória,ES,0300-038-4983,escola287@email.com.br,12,2022-04-25,2025-11-23
C00210,Jesus,14562328588424,Belo Horizonte,MG,+55 (071) 2205 0209,escola83@email.com.br,23,2022-08-31,2025-10-29
C00211,Fonseca Lopes S/A,74315274205493,Maringá,PR,0500-451-0162,escola165@email.com.br,25,2022-12-03,2025-01-01
C00212,Martins,40892687056856,João Pessoa,PB,+55 (031) 4999-8279,escola179@email.com.br,24,2023-04-10,2023-11-17
C00213,Porto Sá - ME,69725217525007,São Paulo,SP,21 0145 5616,escola294@email.com.br,16,2022-05-07,2024-10-07
C00214,Porto da Mota - EI,56924593752654,Natal,RN,81 1472-1458,escola203@email.com.br,9,2022-07-21,2023-07-22
C00215,Souza Novais - EI,76936763201632,Belém,PA,81 8339 0198,escola38@email.com.br,21,2023-03-12,2025-10-03
C00216,Montenegro,77221704303054,Campo Grande,MS,+55 31 7946 9548,escola129@email.com.br,18,2022-05-03,2025-09-15
C00217,Pastor - EI,46584044997278,Manaus,AM,0500 952 9978,escola72@email.com.br,4,2023-01-28,2025-11-06
